title,episodes,score,year,type,status,rating,duration,genres,studios,duration_min
Kidou Butouden G Gundam,49.0,7.59,1994,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Romance', 'Sci-Fi']",['Sunrise'],24.0
Last Exile,26.0,7.78,2003,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Adventure', 'Sci-Fi']",['Gonzo'],24.0
Mai-HiME,26.0,7.39,2004,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Girls Love']",['Sunrise'],23.0
Mai-Otome,26.0,7.27,2005,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Comedy', 'Drama', 'Fantasy']",['Sunrise'],23.0
Shin Shirayuki-hime Densetsu Prétear,13.0,7.16,2001,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Drama', 'Romance']",['HAL Film Maker'],23.0
Air,12.0,7.27,2005,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Romance', 'Supernatural']",['Kyoto Animation'],24.0
Aishiteruze Baby★★,26.0,7.43,2004,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Comedy', 'Drama', 'Romance']",['TMS Entertainment'],25.0
Akazukin Chacha,74.0,7.44,1994,TV,Finished Airing,G - All Ages,24 min per ep,"['Adventure', 'Comedy', 'Romance']",['Gallop'],24.0
Ayashi no Ceres,24.0,7.17,2000,TV,Finished Airing,R - 17+ (violence & profanity),21 min per ep,"['Adventure', 'Drama', 'Horror', 'Romance', 'Supernatural']",['Studio Pierrot'],21.0
Boys Be...,13.0,6.39,2000,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Comedy', 'Romance']",['HAL Film Maker'],23.0
Hana yori Dango,51.0,7.57,1996,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Romance']",['Toei Animation'],24.0
Ou Dorobou Jing,13.0,7.18,2002,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Studio Deen'],24.0
Ou Dorobou Jing in Seventh Heaven,3.0,7.24,0,OVA,Finished Airing,PG-13 - Teens 13 or older,28 min per ep,"['Adventure', 'Comedy', 'Fantasy']",['Studio Deen'],28.0
Bakuretsu Tenshi,24.0,6.78,2004,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Adventure', 'Sci-Fi']",['Gonzo'],23.0
Chuuka Ichiban!,52.0,7.59,1997,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Comedy', 'Drama', 'Gourmet']",['Nippon Animation'],23.0
Corrector Yui,52.0,6.9,1999,TV,Finished Airing,G - All Ages,25 min per ep,"['Adventure', 'Comedy', 'Sci-Fi']",['Nippon Animation'],25.0
Chou Henshin Cosprayers,8.0,4.88,2004,TV,Finished Airing,PG-13 - Teens 13 or older,17 min per ep,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Ecchi']","['Imagin', 'Studio Live']",17.0
Uchuu no Stellvia,26.0,7.33,2003,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Romance', 'Sci-Fi']",['Xebec'],23.0
Sakigake!! Cromartie Koukou,26.0,7.88,2003,TV,Finished Airing,PG-13 - Teens 13 or older,11 min per ep,['Comedy'],['Production I.G'],11.0
Ijigen no Sekai El-Hazard,13.0,6.79,1998,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Adventure', 'Comedy', 'Fantasy']",['AIC'],24.0
Shinpi no Sekai El-Hazard (TV),26.0,6.94,1995,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",['AIC'],23.0
Shinpi no Sekai El-Hazard,7.0,7.26,0,OVA,Finished Airing,PG-13 - Teens 13 or older,34 min per ep,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",['AIC'],34.0
Shinpi no Sekai El-Hazard Season 2,4.0,6.78,0,OVA,Finished Airing,PG-13 - Teens 13 or older,30 min per ep,"['Adventure', 'Comedy', 'Fantasy']",['AIC'],30.0
Final Approach,13.0,6.5,2004,TV,Finished Airing,PG-13 - Teens 13 or older,14 min per ep,"['Comedy', 'Drama', 'Romance']","['Trinet Entertainment', 'Zexcs']",14.0
Fruits Basket,26.0,7.69,2001,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Drama', 'Romance', 'Supernatural']",['Studio Deen'],24.0
Fullmetal Alchemist,51.0,8.12,2003,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",['Bones'],24.0
Full Moon wo Sagashite,52.0,7.94,2002,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Drama', 'Romance', 'Supernatural']",['Studio Deen'],24.0
Fushigi Yuugi,52.0,7.61,1995,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Adventure', 'Fantasy', 'Romance']",['Studio Pierrot'],23.0
Fushigi Yuugi: Eikouden,4.0,6.79,0,OVA,Finished Airing,PG-13 - Teens 13 or older,30 min per ep,"['Adventure', 'Drama', 'Fantasy', 'Romance']",['Studio Pierrot'],30.0
Futakoi,13.0,6.42,2004,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Romance']",['Telecom Animation Film'],24.0
Futakoi Alternative,13.0,6.85,2005,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Drama', 'Romance']","['ufotable', 'feel.', 'Studio Flag']",24.0
Gate Keepers,24.0,6.92,2000,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Comedy', 'Fantasy', 'Sci-Fi']",['Gonzo'],25.0
Gate Keepers 21,6.0,6.74,0,OVA,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Drama', 'Sci-Fi']",['Gonzo'],25.0
Gensoumaden Saiyuuki,50.0,7.53,2000,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Studio Pierrot'],23.0
Saiyuuki Reload,25.0,7.36,2003,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['Studio Pierrot'],23.0
Saiyuuki Reload Gunlock,26.0,7.36,2004,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['Studio Pierrot'],24.0
GetBackers,49.0,7.57,2002,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Mystery', 'Supernatural']",['Studio Deen'],24.0
Green Green,12.0,6.12,2003,TV,Finished Airing,R+ - Mild Nudity,24 min per ep,"['Comedy', 'Romance', 'Ecchi']",['Studio Matrix'],24.0
Gunslinger Girl,13.0,7.38,2003,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,"['Action', 'Drama', 'Sci-Fi', 'Suspense']",['Madhouse'],24.0
Hikaru no Go,75.0,8.08,2001,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Comedy', 'Drama', 'Supernatural']",['Studio Pierrot'],23.0
Hunter x Hunter,62.0,8.43,1999,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Adventure', 'Fantasy']",['Nippon Animation'],23.0
Hunter x Hunter: Original Video Animation,8.0,8.32,0,OVA,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Adventure', 'Fantasy']",['Nippon Animation'],23.0
Hunter x Hunter: Greed Island,8.0,8.18,0,OVA,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Adventure', 'Fantasy']",['Nippon Animation'],23.0
Hunter x Hunter: Greed Island Final,14.0,8.25,0,OVA,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Adventure', 'Fantasy']",['Nippon Animation'],23.0
Jinki:Extend,12.0,6.08,2005,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,['Sci-Fi'],['feel.'],23.0
