title,episodes,score,year,type,status,rating,duration,genres,studios,duration_min
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,12.0,6.09,2019,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Fantasy', 'Mystery']",['Anima&Co.'],23.0
Tarareba,1.0,6.21,0,Music,Finished Airing,PG - Children,6 min,['Drama'],[],6.0
Sora no Aosa wo Shiru Hito yo,1.0,7.47,0,Movie,Finished Airing,PG-13 - Teens 13 or older,1 hr 46 min,"['Drama', 'Romance', 'Supernatural']",['CloverWorks'],1.0
High Score Girl II,9.0,7.94,2019,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Comedy', 'Romance']",['J.C.Staff'],23.0
Wangu Xian Qiong III: Eren Gu Pian,13.0,6.39,0,ONA,Finished Airing,PG-13 - Teens 13 or older,16 min per ep,"['Adventure', 'Comedy', 'Fantasy']",['ASK Animation Studio'],16.0
Levius,12.0,7.12,0,ONA,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Sci-Fi', 'Sports']",['Polygon Pictures'],25.0
Somali to Mori no Kamisama,12.0,7.81,2020,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Adventure', 'Drama', 'Fantasy']","['Satelight', 'HORNETS']",23.0
Goblin Slayer: Goblin's Crown,1.0,7.26,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 25 min,"['Action', 'Adventure', 'Fantasy']",['White Fox'],1.0
TV Yarou Nanaana: Wakuwaku Doukutsu Land,24.0,6.25,2019,TV,Finished Airing,PG-13 - Teens 13 or older,3 min per ep,"['Adventure', 'Comedy']",['Studio Crocodile'],3.0
Kitsutsuki Tanteidokoro,12.0,6.15,2020,TV,Finished Airing,R - 17+ (violence & profanity),24 min per ep,['Mystery'],['LIDENFILMS'],24.0
number24,12.0,6.73,2020,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,['Sports'],['PRA'],23.0
Human Lost: Ningen Shikkaku,1.0,5.78,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 49 min,"['Drama', 'Sci-Fi', 'Suspense']",['Polygon Pictures'],1.0
Majo Minarai wo Sagashite,1.0,7.56,0,Movie,Finished Airing,G - All Ages,1 hr 31 min,"['Award Winning', 'Comedy', 'Drama']",['Toei Animation'],1.0
Hataraku Saibou!!,8.0,7.38,2021,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,['Comedy'],['David Production'],23.0
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,13.0,8.32,2020,TV,Finished Airing,R - 17+ (violence & profanity),26 min per ep,"['Drama', 'Fantasy', 'Suspense']",['White Fox'],26.0
Ojamajo Doremi: Owarai Gekijou,26.0,6.5,0,ONA,Finished Airing,G - All Ages,1 min per ep,['Comedy'],[],1.0
Kouya no Kotobuki Hikoutai Gaiden: Oozora no Harukaze Hikoutai,12.0,6.25,0,ONA,Finished Airing,PG-13 - Teens 13 or older,14 min per ep,"['Action', 'Adventure']","['WAO World', 'GEMBA']",14.0
Africa no Salaryman (TV),12.0,6.55,2019,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,['Comedy'],['HOTZIPANG'],23.0
Persona 5 the Animation Specials,2.0,6.91,0,Special,Finished Airing,R - 17+ (violence & profanity),23 min per ep,['Comedy'],['CloverWorks'],23.0
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,13.0,8.15,2019,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,['Sci-Fi'],['Sunrise'],25.0
Sword Art Online: Alicization - War of Underworld,12.0,7.58,2019,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Action', 'Adventure', 'Fantasy']",['A-1 Pictures'],23.0
Hataraku Saibou Specials,5.0,6.66,0,Special,Finished Airing,G - All Ages,4 min per ep,['Comedy'],['David Production'],4.0
Uchi no Maid ga Uzasugiru!: Uchi no Maid wa Yappari Mou Honto Uzainda naa...,1.0,6.86,0,Special,Finished Airing,PG-13 - Teens 13 or older,24 min,"['Comedy', 'Girls Love']",['Doga Kobo'],24.0
Tensei shitara Slime Datta Ken: Kanwa - Veldora Nikki,1.0,6.78,0,TV Special,Finished Airing,PG-13 - Teens 13 or older,23 min,"['Comedy', 'Fantasy']",['8bit'],23.0
Ochikobore Fruit Tart,12.0,6.77,2020,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,['Slice of Life'],['feel.'],23.0
ACCA: 13-ku Kansatsu-ka - Regards,1.0,7.15,0,OVA,Finished Airing,PG-13 - Teens 13 or older,47 min,"['Drama', 'Mystery']",['Madhouse'],47.0
Hametarou,2.0,4.86,0,CM,Finished Airing,G - All Ages,30 sec per ep,[],[],30.0
Jo Uta,1.0,5.2,0,Music,Finished Airing,G - All Ages,4 min,['Avant Garde'],[],4.0
Yakusoku no Neverland 2nd Season,11.0,5.24,2021,TV,Finished Airing,R - 17+ (violence & profanity),22 min per ep,"['Mystery', 'Suspense']",['CloverWorks'],22.0
Kagaku Manga Survival,1.0,5.56,0,PV,Finished Airing,PG - Children,1 min,"['Action', 'Comedy']","['Toei Animation', 'Gallop']",1.0
BanG Dream! Film Live,1.0,7.7,0,Movie,Finished Airing,PG-13 - Teens 13 or older,1 hr 12 min,[],['SANZIGEN'],1.0
Hakata Mentai! Pirikarako-chan,12.0,5.14,2019,TV,Finished Airing,G - All Ages,4 min per ep,"['Comedy', 'Gourmet']",['G-angle'],4.0
Mahou no LumiTear,10.0,5.66,0,ONA,Finished Airing,G - All Ages,3 min per ep,['Fantasy'],[],3.0
Bakugan: Battle Planet,50.0,5.57,2019,TV,Finished Airing,PG - Children,24 min per ep,"['Action', 'Fantasy']",['TMS Entertainment'],24.0
You Should See Me in a Crown,1.0,4.93,0,Music,Finished Airing,R - 17+ (violence & profanity),3 min,['Avant Garde'],['Poncotan'],3.0
Peter-kun no Koutsuu Anzen,1.0,6.37,0,OVA,Finished Airing,G - All Ages,12 min,[],[],12.0
"Koutsuu Anzen Inu ""Signal"" no Oyako Nikki: Tobidashi Chuui",1.0,6.37,0,OVA,Finished Airing,G - All Ages,10 min,[],[],10.0
Dump to Mon-chan no Chiisana Bouken,1.0,6.37,0,Movie,Finished Airing,G - All Ages,16 min,[],[],16.0
Nan-chan no Koutsuu Anzen,1.0,6.37,0,OVA,Finished Airing,G - All Ages,11 min,[],[],11.0
Kaijuu Step Wandabada,26.0,6.37,2019,TV,Finished Airing,PG - Children,5 min per ep,['Comedy'],['Usagi Ou'],5.0
Megohime,3.0,5.48,0,ONA,Finished Airing,PG-13 - Teens 13 or older,11 min per ep,['Fantasy'],['Gaina'],11.0
Sonyeonjangsu,50.0,6.37,0,TV,Finished Airing,G - All Ages,20 min per ep,"['Action', 'Drama']",['SEK Studios'],20.0
Daifuku-kun@Kin Tele 2nd Season,26.0,6.37,2019,TV,Finished Airing,PG - Children,Unknown,['Comedy'],[],
Choujigen Game Neptune The Animation OVA,3.0,7.16,0,OVA,Finished Airing,PG-13 - Teens 13 or older,26 min per ep,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",['Okuruto Noboru'],26.0
"Tenioha! 2: Nee, Motto Ecchi na Koto Ippai Shiyo? The Animation",1.0,6.99,0,OVA,Finished Airing,Rx - Hentai,26 min,['Hentai'],['Studio 1st'],26.0
Shoujo☆Conto All Starlight,26.0,6.27,0,ONA,Finished Airing,PG-13 - Teens 13 or older,3 min per ep,['Comedy'],"['Kinema Citrus', 'IMAGICA Lab.']",3.0
Setsugetsuka,1.0,5.84,0,Music,Finished Airing,G - All Ages,3 min,[],[],3.0
Essential Free & Easy,2.0,4.75,0,CM,Finished Airing,G - All Ages,1 min per ep,['Avant Garde'],[],1.0
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,1.0,7.65,0,OVA,Finished Airing,PG-13 - Teens 13 or older,24 min,"['Action', 'Comedy', 'Supernatural']",['Bones'],24.0
One Punch Man 2nd Season Commemorative Special,1.0,7.05,0,TV Special,Finished Airing,R - 17+ (violence & profanity),24 min,"['Action', 'Comedy']",['J.C.Staff'],24.0
Chokotto Anime Kemono Friends 3,26.0,5.78,0,ONA,Finished Airing,PG-13 - Teens 13 or older,1 min per ep,"['Adventure', 'Comedy', 'Fantasy']",[],1.0
Cinderella Girls Gekijou: Kayou Cinderella Theater 4th Season,7.0,6.28,0,ONA,Finished Airing,PG-13 - Teens 13 or older,1 min per ep,['Comedy'],"['Gathering', 'Lesprit']",1.0
Supermarket Flowers,1.0,5.86,0,Music,Finished Airing,G - All Ages,3 min,[],['HOTZIPANG'],3.0
Chikin Ramen x Gudetama,3.0,5.11,0,CM,Finished Airing,G - All Ages,52 sec per ep,['Comedy'],[],52.0
"Hi no Tori ""Dougo Onsen-hen""",4.0,5.78,0,CM,Finished Airing,G - All Ages,6 min per ep,['Supernatural'],['Pony Canyon'],6.0
Gifu no Tatekayoko,26.0,6.37,2019,TV,Finished Airing,G - All Ages,30 sec per ep,['Comedy'],[],30.0
Watanuki-san Chi no,12.0,5.78,2019,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,['Slice of Life'],[],23.0
Gundam vs Hello Kitty,3.0,6.65,0,ONA,Finished Airing,G - All Ages,2 min per ep,"['Comedy', 'Fantasy', 'Sci-Fi']",[],2.0
Ling Long: Incarnation,6.0,7.49,0,ONA,Finished Airing,R - 17+ (violence & profanity),35 min per ep,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Suspense']",['YHKT Entertainment'],35.0
Hanhua Riji,12.0,7.44,0,ONA,Finished Airing,PG-13 - Teens 13 or older,14 min per ep,"['Comedy', 'Supernatural']","['L²Studio', 'TrioPen Studio']",14.0
Chuizhi Shijie,12.0,6.37,0,ONA,Finished Airing,PG-13 - Teens 13 or older,4 min per ep,"['Comedy', 'Fantasy']",['Haoliners Animation'],4.0
Mei Chuxi de Yinyangshi Yijia,12.0,6.08,0,ONA,Finished Airing,PG-13 - Teens 13 or older,5 min per ep,"['Comedy', 'Supernatural']",['Green Monster Team'],5.0
Ju Bing Chang Cheng Zhuan,40.0,6.37,2019,TV,Finished Airing,G - All Ages,14 min per ep,"['Action', 'Adventure', 'Fantasy']",['2:10 Animation'],14.0
Shakuen no Eris,4.0,6.34,0,OVA,Finished Airing,Rx - Hentai,24 min per ep,"['Fantasy', 'Hentai']",['PoRO'],24.0
D4DJ First Mix,13.0,7.6,2020,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,[],['SANZIGEN'],23.0
Daisuki tte Imi da yo,1.0,5.3,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Sayonara Freeway,1.0,5.68,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Mabeob Chunjamun,26.0,6.37,0,TV,Finished Airing,G - All Ages,25 min per ep,"['Action', 'Adventure']",[],25.0
Mabeob Chunjamun Season 2,26.0,6.37,0,TV,Finished Airing,G - All Ages,25 min per ep,"['Action', 'Adventure']",[],25.0
Nande Koko ni Sensei ga!? Nande Koko ni Sensei-tachi ga!?,1.0,6.83,0,Special,Finished Airing,R+ - Mild Nudity,11 min,"['Comedy', 'Ecchi']",['Tear Studio'],11.0
Mousou Teikoku Chikuonki,1.0,5.73,0,Music,Finished Airing,PG-13 - Teens 13 or older,4 min,"['Avant Garde', 'Fantasy']",[],4.0
Robot Trains,32.0,6.37,2015,TV,Finished Airing,PG - Children,13 min per ep,[],['Studio BAZOOKA'],13.0
Pocari Sweat x Fuji Rock Festival '17,1.0,5.4,0,CM,Finished Airing,G - All Ages,30 sec,[],[],30.0
Niigata no Edamame-ou Shiba,3.0,5.11,0,ONA,Finished Airing,G - All Ages,30 sec per ep,[],[],30.0
Mameshiba x Tunes!,1.0,4.75,0,CM,Finished Airing,G - All Ages,30 sec,['Comedy'],[],30.0
King of Prism: Shiny Seven Stars,12.0,6.46,2019,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,['Sports'],['Tatsunoko Production'],24.0
Miracle,1.0,6.16,0,Music,Finished Airing,G - All Ages,4 min,['Avant Garde'],[],4.0
Nanatsu no Taizai: Kamigami no Gekirin,24.0,6.47,2019,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Action', 'Adventure', 'Fantasy']",['Studio Deen'],24.0
The Closet,1.0,5.81,0,Movie,Finished Airing,G - All Ages,4 min,['Drama'],[],4.0
Shiroi Unabara,1.0,6.03,0,Movie,Finished Airing,G - All Ages,6 min,['Drama'],[],6.0
One Punch Man 2nd Season Specials,6.0,7.39,0,Special,Finished Airing,R - 17+ (violence & profanity),12 min per ep,"['Action', 'Comedy']",['J.C.Staff'],12.0
Cat Step,1.0,5.35,0,Music,Finished Airing,G - All Ages,4 min,[],[],4.0
Gekiyaba∞Bokkan!!,1.0,5.6,0,Music,Finished Airing,PG - Children,3 min,['Action'],['Ijigen Tokyo'],3.0
Fairy Ngoo,4.0,5.12,0,ONA,Finished Airing,PG-13 - Teens 13 or older,2 min per ep,"['Comedy', 'Fantasy']",['TOHO animation'],2.0
Amanchu!: Upyopyo Dive Tsukkome! Umi no Sekai!,6.0,6.34,0,Special,Finished Airing,PG-13 - Teens 13 or older,7 min per ep,['Comedy'],['J.C.Staff'],7.0
Yesterday wo Utatte,12.0,6.87,2020,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Drama', 'Romance']",['Doga Kobo'],23.0
Bumblebee Hajimete no Chikyuu Seikatsu,3.0,5.6,0,ONA,Finished Airing,G - All Ages,1 min per ep,"['Comedy', 'Sci-Fi']",[],1.0
Beam!,1.0,5.66,0,Music,Finished Airing,PG-13 - Teens 13 or older,3 min,"['Action', 'Drama']",[],3.0
"Blue Hawaii feat. Crush, Penomeco",1.0,5.44,0,Music,Finished Airing,PG-13 - Teens 13 or older,4 min,[],[],4.0
Jah Jhaka,1.0,5.27,0,Music,Finished Airing,PG-13 - Teens 13 or older,3 min,['Avant Garde'],[],3.0
Mu Wang Zhi Wang: Xuan Guan Si,20.0,6.43,0,ONA,Finished Airing,PG-13 - Teens 13 or older,20 min per ep,"['Action', 'Mystery', 'Romance']",['BUILD DREAM'],20.0
Fairy Tail x Mameshiba,1.0,5.71,0,CM,Finished Airing,G - All Ages,1 min,['Comedy'],[],1.0
Himote House: Dai Panic! Minna de Gokiburi Taiji,1.0,5.65,0,OVA,Finished Airing,PG-13 - Teens 13 or older,16 min,['Comedy'],['Bouncy'],16.0
I★Chu: Halfway Through the Idol,12.0,6.59,2021,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,[],['Lay-duce'],24.0
Houkago Kappa,1.0,5.61,0,Music,Finished Airing,G - All Ages,1 min,[],[],1.0
Eden (ONA),4.0,6.4,0,ONA,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Fantasy', 'Sci-Fi', 'Slice of Life']","['Qubic Pictures', 'CGCG Studio']",25.0
Houkago Teibou Nisshi,12.0,7.45,2020,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Gourmet', 'Slice of Life']",['Doga Kobo'],23.0
Na Bbeun Sang Sa,1.0,5.94,0,Movie,Finished Airing,R+ - Mild Nudity,1 hr 42 min,"['Suspense', 'Hentai']",[],1.0
Line Novel,2.0,6.2,0,CM,Finished Airing,G - All Ages,2 min per ep,['Slice of Life'],"['PINE JAM', 'CloverWorks']",2.0
Baja no Studio: Baja no Mita Umi,1.0,6.8,0,OVA,Finished Airing,G - All Ages,27 min,['Fantasy'],['Kyoto Animation'],27.0
Li Shi,16.0,6.28,0,ONA,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Mystery', 'Supernatural']",['B.CMAY PICTURES'],23.0
Mushishi Recap,1.0,6.71,0,TV Special,Finished Airing,PG-13 - Teens 13 or older,25 min,"['Mystery', 'Supernatural']",['Artland'],25.0
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,1.0,8.42,0,Movie,Finished Airing,PG-13 - Teens 13 or older,1 hr 31 min,['Drama'],['Kyoto Animation'],1.0
"Omoi, Omoware, Furi, Furare",1.0,7.25,0,Movie,Finished Airing,PG-13 - Teens 13 or older,1 hr 42 min,"['Drama', 'Romance']",['A-1 Pictures'],1.0
Di Ling Qu,18.0,6.37,0,ONA,Finished Airing,PG-13 - Teens 13 or older,20 min per ep,"['Action', 'Adventure', 'Fantasy']",[],20.0
Panda-chan no Koutsuu Anzen,1.0,6.37,0,OVA,Finished Airing,G - All Ages,14 min,[],[],14.0
Boku to Oneechan no Koutsuu Anzen,2.0,6.37,0,OVA,Finished Airing,G - All Ages,4 min per ep,[],[],4.0
Bai Niao Gu,1.0,6.44,0,Movie,Finished Airing,G - All Ages,15 min,['Fantasy'],['Wolf Smoke Studio'],15.0
Saezuru Tori wa Habatakanai: The Clouds Gather,1.0,7.36,0,Movie,Finished Airing,R+ - Mild Nudity,1 hr 25 min,"['Boys Love', 'Drama', 'Erotica']",['GRIZZLY'],1.0
"Taka no Tsumedan Yoshida Presents ""Sengoku Taiga"" no Susume",1.0,5.43,0,ONA,Finished Airing,G - All Ages,3 min,['Comedy'],[],3.0
Meitantei Conan Movie 24: Hiiro no Dangan,1.0,7.77,0,Movie,Finished Airing,PG-13 - Teens 13 or older,1 hr 50 min,"['Action', 'Comedy', 'Drama', 'Mystery']",['TMS Entertainment'],1.0
Shuuen no Shiori,1.0,6.14,0,Music,Finished Airing,PG-13 - Teens 13 or older,3 min,"['Mystery', 'Supernatural']",[],3.0
Mao Yao de Huo Han,20.0,6.59,0,ONA,Finished Airing,PG-13 - Teens 13 or older,17 min per ep,"['Fantasy', 'Romance']",['Rocen'],17.0
Kimi ni Sekai,1.0,6.77,0,Music,Finished Airing,G - All Ages,4 min,"['Fantasy', 'Sci-Fi']",['Wit Studio'],4.0
Skyers 5 EX,3.0,6.37,0,Special,Finished Airing,G - All Ages,24 min per ep,"['Action', 'Sci-Fi']",['TCJ'],24.0
Popee the Performer: Countdown Special,1.0,6.18,0,Special,Finished Airing,R - 17+ (violence & profanity),5 min,"['Comedy', 'Supernatural']",['Zuiyo'],5.0
Keep Calm and Carry On,1.0,5.61,0,PV,Finished Airing,G - All Ages,1 min,['Fantasy'],[],1.0
Family,1.0,5.6,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
5-toubun no Hanayome ∬,12.0,8.0,2021,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,"['Comedy', 'Romance']",['Bibury Animation Studios'],24.0
Tejime,1.0,5.3,0,Music,Finished Airing,G - All Ages,3 min,[],[],3.0
Tsuki,1.0,6.37,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Adachi to Shimamura,12.0,7.08,2020,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,['Girls Love'],['Tezuka Productions'],24.0
Eizouken ni wa Te wo Dasu na!,12.0,8.13,2020,TV,Finished Airing,PG-13 - Teens 13 or older,25 min per ep,"['Adventure', 'Award Winning', 'Comedy']",['Science SARU'],25.0
Ever Green Never End,1.0,5.82,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Soshite Watashi wa Ojisan ni...,4.0,6.34,0,OVA,Finished Airing,Rx - Hentai,25 min per ep,['Hentai'],['Nur'],25.0
Ochi Mono RPG Seikishi Luvilias,4.0,6.88,0,OVA,Finished Airing,Rx - Hentai,16 min per ep,"['Fantasy', 'Hentai']",['Majin'],16.0
Zhu Zhu Xia: Konglong Riji,104.0,6.37,2019,TV,Finished Airing,G - All Ages,13 min per ep,['Sci-Fi'],[],13.0
Val x Love,12.0,5.9,2019,TV,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",['Hoods Entertainment'],23.0
Joshi Luck!,6.0,7.41,0,OVA,Finished Airing,Rx - Hentai,16 min per ep,"['Sports', 'Hentai']",['T-Rex'],16.0
Boku to Sensei to Tomodachi no Mama,2.0,6.26,0,OVA,Finished Airing,Rx - Hentai,20 min per ep,['Hentai'],['Blue bread'],20.0
Secret of Moldiver: Himitsu Daihyakka,1.0,5.68,0,OVA,Finished Airing,G - All Ages,11 min,"['Comedy', 'Sci-Fi']",['AIC'],11.0
Mugen no Juunin: Immortal,24.0,7.44,0,ONA,Finished Airing,R - 17+ (violence & profanity),23 min per ep,"['Action', 'Adventure', 'Drama', 'Supernatural']",['LIDENFILMS'],23.0
Non Non Biyori Nonstop,12.0,8.35,2021,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,['Slice of Life'],['SILVER LINK.'],24.0
Kyou Kara Maou! Recap,1.0,6.04,0,Special,Finished Airing,PG-13 - Teens 13 or older,25 min,"['Adventure', 'Comedy', 'Fantasy']",[],25.0
Fairy Gone Part 2,12.0,6.36,2019,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Fantasy']",['P.A. Works'],23.0
Stars Colliding,1.0,5.49,0,Music,Finished Airing,G - All Ages,3 min,[],[],3.0
More feat. Anderson .Paak,1.0,6.07,0,Music,Finished Airing,PG-13 - Teens 13 or older,3 min,[],"['Typhoon Graphics', 'StoryRiders Co. Ltd.']",3.0
Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru,1.0,7.27,0,OVA,Finished Airing,PG-13 - Teens 13 or older,25 min,"['Comedy', 'Romance']","['Silver', 'Arvo Animation']",25.0
Chuldong! Super Wings 3,40.0,5.72,2018,TV,Finished Airing,PG - Children,11 min per ep,['Adventure'],['Funny Flux'],11.0
Qin Shi Mingyue: Tian Xing Jiu Ge 2nd Season,30.0,6.57,0,ONA,Finished Airing,PG-13 - Teens 13 or older,19 min per ep,"['Action', 'Fantasy']",['Sparkly Key Animation Studio'],19.0
Attouteki Vivid Days,1.0,5.3,0,Music,Finished Airing,G - All Ages,3 min,[],[],3.0
Sore Ike! Anpanman no Hiragana Asobi: Hajimete no AIUEO,1.0,6.37,0,OVA,Finished Airing,G - All Ages,40 min,['Fantasy'],[],40.0
Hitogata,1.0,6.45,0,Music,Finished Airing,PG-13 - Teens 13 or older,3 min,[],[],3.0
Junk Head,1.0,7.21,0,Movie,Finished Airing,R - 17+ (violence & profanity),1 hr 40 min,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Suspense']",['Yamiken'],1.0
Yami Shibai 7,13.0,6.05,2019,TV,Finished Airing,PG-13 - Teens 13 or older,4 min per ep,"['Avant Garde', 'Horror', 'Supernatural']",['ILCA'],4.0
Taka no Tsume x Johnson: Tatakae! Jokin Shitennou,2.0,6.37,0,ONA,Finished Airing,G - All Ages,2 min per ep,['Comedy'],['DLE'],2.0
Ganbare! Kakure Ase Project,1.0,5.93,0,ONA,Finished Airing,G - All Ages,2 min,['Slice of Life'],['G-angle'],2.0
Kyoei Tankou-sho,1.0,5.73,0,ONA,Finished Airing,G - All Ages,50 sec,['Sci-Fi'],['G-angle'],50.0
Onna Maou Melissa no H na Boukenki,2.0,5.66,0,ONA,Finished Airing,Rx - Hentai,15 min per ep,"['Fantasy', 'Hentai']",['Office No. 8'],15.0
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO: Mugen no Heiretsu Sekai,1.0,6.72,0,Special,Finished Airing,R+ - Mild Nudity,13 min,"['Drama', 'Sci-Fi']",['feel.'],13.0
Kyouryuu Shoujo Gauko,20.0,6.36,0,ONA,Finished Airing,G - All Ages,7 min per ep,['Comedy'],['Ascension'],7.0
Haishin Yuusha,12.0,6.37,0,ONA,Finished Airing,PG-13 - Teens 13 or older,2 min per ep,"['Comedy', 'Fantasy']","['Acca effe', 'Giga Production']",2.0
Tsunagaru,1.0,5.72,0,Special,Finished Airing,G - All Ages,3 min,[],[],3.0
Can You See? I'm Sushi,1.0,5.17,0,Music,Finished Airing,G - All Ages,2 min,['Gourmet'],['Creatures'],2.0
Salsa Ii na Ii ne,1.0,5.45,0,Music,Finished Airing,G - All Ages,2 min,[],['Creatures'],2.0
Koi no Subesube Manjuu Gani,1.0,5.27,0,Music,Finished Airing,G - All Ages,2 min,[],['Creatures'],2.0
Tonosama Gaeru,1.0,5.07,0,Music,Finished Airing,G - All Ages,2 min,['Comedy'],['Creatures'],2.0
Tanjou!! KKT21,1.0,5.47,0,ONA,Finished Airing,G - All Ages,5 min,['Slice of Life'],[],5.0
Petit Clover Advance,15.0,6.5,0,Special,Finished Airing,PG-13 - Teens 13 or older,6 min per ep,['Comedy'],['Studio Gokumi'],6.0
Rere no Aoi Sora,1.0,6.37,0,Music,Finished Airing,G - All Ages,2 min,[],['Creatures'],2.0
Neko no Heishi ga Yuku,1.0,5.49,0,Music,Finished Airing,G - All Ages,2 min,[],['Creatures'],2.0
Chiruri,1.0,5.77,0,ONA,Finished Airing,PG-13 - Teens 13 or older,8 min,['Drama'],[],8.0
Youki ni Utaeba,1.0,4.98,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Umi no Yuurei,1.0,7.27,0,Music,Finished Airing,G - All Ages,4 min,['Supernatural'],['Studio 4°C'],4.0
Mori no Kuma-san,1.0,5.24,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Kappa no Kui Kuo Kua,1.0,5.12,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Hajimari no Sokudo,1.0,6.34,0,Music,Finished Airing,PG-13 - Teens 13 or older,4 min,[],[],4.0
Mizuiro no One-Piece,1.0,5.98,0,Music,Finished Airing,G - All Ages,2 min,['Slice of Life'],[],2.0
Umi e Kite,1.0,5.71,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Ringo no Mori no Koneko-tachi,1.0,5.72,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Yume Kyuukou de 15-fun,1.0,5.45,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Anta e,1.0,5.74,0,Music,Finished Airing,PG - Children,6 min,['Drama'],[],6.0
Nayami no Tane,1.0,5.52,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Ha Ji Me Te,1.0,5.48,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Muteking the Dancing Hero,12.0,5.89,2021,TV,Finished Airing,PG-13 - Teens 13 or older,23 min per ep,"['Action', 'Comedy', 'Sci-Fi']","['Tatsunoko Production', 'Tezuka Productions']",23.0
Hibike! Euphonium 3,13.0,8.72,2024,TV,Finished Airing,PG-13 - Teens 13 or older,24 min per ep,['Drama'],['Kyoto Animation'],24.0
Tabibito no You ni,1.0,5.8,0,Music,Finished Airing,G - All Ages,2 min,['Slice of Life'],[],2.0
Mama ga Hakuchou Datta Hi,1.0,5.6,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Haru Natsu,1.0,5.68,0,Music,Finished Airing,G - All Ages,4 min,['Slice of Life'],[],4.0
Boku to Déjà vu,1.0,5.65,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Collar x Malice Movie: Deep Cover,2.0,5.72,0,Movie,Finished Airing,R - 17+ (violence & profanity),51 min per ep,"['Mystery', 'Romance', 'Suspense']",['Studio Deen'],51.0
Megido 72: Nagaki Sen Tabi no Katawara de,5.0,6.37,0,ONA,Finished Airing,PG-13 - Teens 13 or older,4 min per ep,"['Action', 'Adventure', 'Fantasy']",['V-sign'],4.0
Boku no Kachi,1.0,5.17,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Yume no Mahou,1.0,5.6,0,Music,Finished Airing,G - All Ages,2 min,[],[],2.0
Wan Jie Xian Zong 2nd Season,40.0,7.23,0,ONA,Finished Airing,PG-13 - Teens 13 or older,7 min per ep,"['Action', 'Adventure', 'Fantasy', 'Romance']",['Ruo Hong Culture'],7.0
